ItemID,SentimentText,IID,comment_length
176703,The sunshine today makes me feel incredibly joyful,10828,64
33973,I feel so happy,11819,30
246891,The sky is overcast mirroring my current mood,16588,16
182799,I feel an indescribable sense of loss,18682,48
280444,Seeing my family healthy and happy fills my heart with joy,11554,32
241198,justine xxx soooo jealous soooo wanna see danny,13910,47
164104,freewallpaper okay agree disagree,15680,33
250796,kaylariley oh even get meet ok,11926,30
189525,erikakane lost please help find good home,19208,41
114617,ddlovato see pic vaca,19391,21
249279,katiee xo ohhhhhh seee cant actually hahaa p ooo fun,14589,52
180913,han banana missed like minute,19486,29
191873,hudgensness yer good friday soo thats exciting thx replying thats soo nice xx,19687,77
15247,memory erased http plurk com p z,16920,32
51614,aubreyoday need new music get,17386,29
114617,ddlovato see pic vaca,14925,21
270175,bffs anymore well happens im gonna stay upset im gonna get think time bed lol nite nite ev,14132,90
163295,fra le haha going balsamic vinegar top well geet posh eh yeah winged monkey scary cool,16038,86
221999,jesiethegreat tried buck per fractly want buy lot plus missed pen game,19977,70
182030,hariprasadm machi name fairlands misleading,13909,43
255007,kerrycattell sleep good,14687,23
95262,cindyannganaden would live outside worked sadly,19938,47
127383,djaaries btw dj biz going well hope,19577,35
252992,kellydmahaffey great thanks slept badly though got planned today,12905,64
57160,batendersblog another song recently get much play,12147,49
260977,kimokomasada hug sorry hear,12926,27
281154,lilcease hummm got new follower b c see talking miss sunshine lol kiddin love lol,17781,81
245550,kayte girll people speak tha part spain live,15540,44
30896,adriboo yall havn way much fun wish,13390,35
126800,djoneman hey u guy today fucking ill ill ill even sure ill make tonight hotel room day,16692,86
260316,kwarfield awww excited get plan visit,19077,37
183548,heather bentley hello,15762,21
1258,cloud threat rain savusavu,12234,26
21388,sweetwhirl problem ttyl,17543,23
287337,loudmouthman love good night tweet,16469,34
55637,babelpop welcome good luck feature,19034,34
27889,ahsze thank finally see weird character,17425,39
163318,frankbrunke quite pet peeve mine,18889,32
171028,doriens thankyou good lunch x,16787,29
123752,dianedenmark btw get clip put together tmmm never ended getting copy movie,16297,74
277719,lensweet found capernaum impactful still recognizable unlike nazareth church bigger whole town jesus day,13187,104
256867,kidchan nice work villa,10878,23
156354,fanaaa lol better partieees try,15782,31
59602,bella b met jonbreisnes epic said s coffee thought meant sitting drinking lot coffee,11787,84
58606,beccaxvipx hi,12140,13
244701,katyperry found ur gig cancelled wednesday gutted,12873,49
201202,imeldalaura get minute ducking cup tea got explaining,12333,53
2230,really bad day,10427,14
146366,dangerdee could always little personal one close friend like bein around gifties always nice,15293,92
220747,jeremygonis haha mean kissed make feel better though cute,15001,57
182030,hariprasadm machi name fairlands misleading,14335,43
121570,casiestewart sound good always great meet neighbour,11138,51
176119,godzgift make feel bad,13965,22
181636,efffreddy well place really nice unfortunately one lol mcdonalds good tho,11529,73
108632,danthewoman realized help car wash church tomorrow,17133,50
178135,gregorymichael awesome ready season finale greek,16818,48
282809,jonasbrothers http twitpic com cmep u guy regular plane fancy one sweet going normal,11945,84
191677,hypnophil morning mr c dry cloudy c,12947,35
145022,emilyosment arent u pretty late like suppose night,14329,50
84681,atbandre go great coke drink powder great show,11590,46
182799,hazalselena head hurt call hospital die hun lmao,17318,48
77272,c decafe always thursday,11976,24
74349,annelindfjeld got quite busy week ahead fo,15085,42
220747,jeremygonis haha mean kissed make feel better though cute,13768,57
26173,woodrabbit kind silly joke,13002,26
299556,maynaseric good day eric,13607,24
182098,harmonybreviews nice batch,18995,26
178140,gregpena hate spanish class spanish people,15611,42
192681,iamdanyellej except light backyard like ft knox lol sleep,12176,57
142439,crystal ahhah hope squeeze dell would totally break tradition,17093,61
133626,cloudpurple raining yet,14872,23
21388,sweetwhirl problem ttyl,19125,23
111544,davidbacajr wadddddup,10381,21
108632,danthewoman realized help car wash church tomorrow,15970,50
260769,jason manford one light straight away find kind like,10795,52
2230,really bad day,15286,14
127047,djsmook great laid final guitar rhythm track two song sounded awesome mixed,13387,75
121090,demusei,19888,7
236147,joyjude wow time one time iluma practically made day entire year haha welcome back,18723,82
156346,fanaaa certainly saw fb pic snacking maccy mini fana birthday beauty usual,18923,74
22829,master oh man well got impression,18495,33
90407,chikorita workin like dog,16616,25
39743,amaliebente oh yeah haha tonight,19552,32
183508,heartsdesire also tell ya computerless like month got computer march horrible dude,10822,82
168741,gavsmom mine near belly button disguised,10082,40
282934,jonasbrothers http twitpic com ze look paranoid look haha love guy come australia sooooon,10117,89
5340,followfriday countersound hmspmusic two gr label support upcoming house producer,10517,80
58740,becky allgood well im cosy yeahh come drama studio let hope open time yn co still need,12780,86
169317,geminiangel know torrent blocked since ish left download,13703,56
273643,laragreenway ah used use trial,15334,30
200834,freddyizbadd rinny timmy,17264,24
123752,dianedenmark btw get clip put together tmmm never ended getting copy movie,19889,74
2796,love david archuleta xd reaaallly want see concert,16848,50
16101,need start clearing room ready move dont wannaaa,13501,48
243744,katie taylor certainly hope response mine checked result still,16788,62
208041,iwcharters got back massive dessert eating need burn tomorrow,16818,61
200834,freddyizbadd rinny timmy,15120,24
260977,kimokomasada hug sorry hear,13952,27
58795,bendystrawz gotta get g find,17010,28
59602,bella b met jonbreisnes epic said s coffee thought meant sitting drinking lot coffee,13999,84
183548,heather bentley hello,14600,21
277719,lensweet found capernaum impactful still recognizable unlike nazareth church bigger whole town jesus day,11976,104
2230,really bad day,15316,14
168741,gavsmom mine near belly button disguised,17151,40
33973,allieandra blurt slow plaaaaah,11625,30
192681,iamdanyellej except light backyard like ft knox lol sleep,10578,57
21388,sweetwhirl problem ttyl,12687,23
145022,emilyosment arent u pretty late like suppose night,16962,50
241198,justine xxx soooo jealous soooo wanna see danny,15448,47
58795,bendystrawz gotta get g find,10468,28
183548,heather bentley hello,17297,21
277719,lensweet found capernaum impactful still recognizable unlike nazareth church bigger whole town jesus day,15912,104
2230,really bad day,15794,14
168741,gavsmom mine near belly button disguised,13269,40
33973,allieandra blurt slow plaaaaah,11806,30
192681,iamdanyellej except light backyard like ft knox lol sleep,15836,57
21388,sweetwhirl problem ttyl,18850,23
145022,emilyosment arent u pretty late like suppose night,18828,50
241198,justine xxx soooo jealous soooo wanna see danny,18482,47
58795,bendystrawz gotta get g find,13816,28
183548,heather bentley hello,11913,21
277719,lensweet found capernaum impactful still recognizable unlike nazareth church bigger whole town jesus day,10409,104
2230,really bad day,15215,14
168741,gavsmom mine near belly button disguised,18422,40
33973,allieandra blurt slow plaaaaah,12051,30
192681,iamdanyellej except light backyard like ft knox lol sleep,14778,57
21388,sweetwhirl problem ttyl,17364,23
145022,emilyosment arent u pretty late like suppose night,10935,50
241198,justine xxx soooo jealous soooo wanna see danny,18182,47
